Data;Índice da Taxa de Câmbio Real - (Real / Dólar (EUA))(1003592)
01/2012;46,230
02/2012;44,640
03/2012;46,470
04/2012;47,500
05/2012;49,980
06/2012;51,140
07/2012;49,810
08/2012;49,400
09/2012;49,220
10/2012;49,410
11/2012;50,120
12/2012;49,900
01/2013;48,900
02/2013;47,670
03/2013;47,630
04/2013;47,880
05/2013;49,080
06/2013;52,270
07/2013;54,020
08/2013;56,210
09/2013;53,310
10/2013;50,910
11/2013;53,250
12/2013;54,270
01/2014;55,250
02/2014;55,330
03/2014;52,800
04/2014;50,640
05/2014;50,650
06/2014;52,120
07/2014;52,500
08/2014;53,580
09/2014;54,900
10/2014;57,310
11/2014;58,590
12/2014;59,520
01/2015;57,990
02/2015;62,060
03/2015;68,580
04/2015;65,320
05/2015;66,470
06/2015;67,620
07/2015;69,360
08/2015;75,160
09/2015;81,550
10/2015;78,680
11/2015;75,400
12/2015;76,390
01/2016;78,740
02/2016;75,630
03/2016;70,180
04/2016;67,660
05/2016;66,850
06/2016;63,650
07/2016;60,790
08/2016;59,420
09/2016;60,460
10/2016;59,240
11/2016;62,340
12/2016;62,460
01/2017;59,780
02/2017;58,170
03/2017;58,590
04/2017;60,170
05/2017;62,110
06/2017;64,690
07/2017;63,650
08/2017;62,930
09/2017;62,530
10/2017;63,650
11/2017;65,260
12/2017;65,070
01/2018;63,170
02/2018;63,820
03/2018;64,220
04/2018;66,200
05/2018;69,780
06/2018;70,840
07/2018;71,660
08/2018;72,860
09/2018;74,610
10/2018;67,900
11/2018;68,500
12/2018;71,090
01/2019;68,210
02/2019;67,330
03/2019;69,180
04/2019;69,670
05/2019;71,130
06/2019;67,450
07/2019;66,020
08/2019;70,790
09/2019;72,540
10/2019;71,620
11/2019;72,910
12/2019;70,350
01/2020;70,580
02/2020;73,340
03/2020;80,180
04/2020;83,450
05/2020;89,970
06/2020;81,020
07/2020;80,280
08/2020;80,160
09/2020;75,010
10/2020;75,410
11/2020;69,890
12/2020;66,300
01/2021;67,470
02/2021;67,080
03/2021;68,380
04/2021;66,330
05/2021;60,610
06/2021;58,160
07/2021;59,590
08/2021;60,830
09/2021;62,730
10/2021;66,340
11/2021;67,510
12/2021;67,690
01/2022;66,100
02/2022;62,130
03/2022;59,380
04/2022;56,520
05/2022;59,620
06/2022;62,230
07/2022;64,790
08/2022;61,830
09/2022;64,030
10/2022;65,830
11/2022;67,060
12/2022;65,580
01/2023;65,930
02/2023;65,420
03/2023;65,140
04/2023;63,960
05/2023;64,200
06/2023;64,470
07/2023;64,770
08/2023;67,410
09/2023;68,230
10/2023;68,410
11/2023;65,660
12/2023;65,000
01/2024;65,400
02/2024;67,530
03/2024;68,210
04/2024;70,290
05/2024;68,990
06/2024;71,570
07/2024;73,440
08/2024;73,530
09/2024;72,700
10/2024;72,350
11/2024;74,160
12/2024;77,660
01/2025;76,790
02/2025;72,820
03/2025;72,200