"Tabela 6903 - Índice de Preços ao Produtor, por tipo de índice, indústria geral, indústrias extrativas e indústrias de transformação e atividades (dezembro de 2018 = 100)"
"Variável - IPP - Número-índice (dezembro de 2018 = 100)"
"Nível";"Cód.";"";"Mês";"Indústria geral, indústrias extrativas e indústrias de transformação e atividades (CNAE 2.0)";""
"BR";"1";"Brasil";"janeiro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"março 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"abril 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"maio 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"junho 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"julho 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"agosto 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"setembro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"outubro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"novembro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"dezembro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"janeiro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"março 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"abril 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"maio 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"junho 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"julho 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"agosto 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"setembro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"outubro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"novembro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"dezembro 2013";"Indústria Geral";"77,06915";"Número-índice"
"BR";"1";"Brasil";"janeiro 2014";"Indústria Geral";"78,23072";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2014";"Indústria Geral";"78,48320";"Número-índice"
"BR";"1";"Brasil";"março 2014";"Indústria Geral";"78,37993";"Número-índice"
"BR";"1";"Brasil";"abril 2014";"Indústria Geral";"77,61821";"Número-índice"
"BR";"1";"Brasil";"maio 2014";"Indústria Geral";"77,50933";"Número-índice"
"BR";"1";"Brasil";"junho 2014";"Indústria Geral";"77,27543";"Número-índice"
"BR";"1";"Brasil";"julho 2014";"Indústria Geral";"76,83634";"Número-índice"
"BR";"1";"Brasil";"agosto 2014";"Indústria Geral";"77,17497";"Número-índice"
"BR";"1";"Brasil";"setembro 2014";"Indústria Geral";"77,93482";"Número-índice"
"BR";"1";"Brasil";"outubro 2014";"Indústria Geral";"78,24374";"Número-índice"
"BR";"1";"Brasil";"novembro 2014";"Indústria Geral";"78,97530";"Número-índice"
"BR";"1";"Brasil";"dezembro 2014";"Indústria Geral";"79,12182";"Número-índice"
"BR";"1";"Brasil";"janeiro 2015";"Indústria Geral";"78,80597";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2015";"Indústria Geral";"79,36972";"Número-índice"
"BR";"1";"Brasil";"março 2015";"Indústria Geral";"80,84873";"Número-índice"
"BR";"1";"Brasil";"abril 2015";"Indústria Geral";"81,02908";"Número-índice"
"BR";"1";"Brasil";"maio 2015";"Indústria Geral";"81,02719";"Número-índice"
"BR";"1";"Brasil";"junho 2015";"Indústria Geral";"81,40850";"Número-índice"
"BR";"1";"Brasil";"julho 2015";"Indústria Geral";"81,99339";"Número-índice"
"BR";"1";"Brasil";"agosto 2015";"Indústria Geral";"82,78179";"Número-índice"
"BR";"1";"Brasil";"setembro 2015";"Indústria Geral";"85,25726";"Número-índice"
"BR";"1";"Brasil";"outubro 2015";"Indústria Geral";"86,76240";"Número-índice"
"BR";"1";"Brasil";"novembro 2015";"Indústria Geral";"86,39871";"Número-índice"
"BR";"1";"Brasil";"dezembro 2015";"Indústria Geral";"86,09497";"Número-índice"
"BR";"1";"Brasil";"janeiro 2016";"Indústria Geral";"86,67784";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2016";"Indústria Geral";"86,13123";"Número-índice"
"BR";"1";"Brasil";"março 2016";"Indústria Geral";"85,10142";"Número-índice"
"BR";"1";"Brasil";"abril 2016";"Indústria Geral";"84,81096";"Número-índice"
"BR";"1";"Brasil";"maio 2016";"Indústria Geral";"85,57713";"Número-índice"
"BR";"1";"Brasil";"junho 2016";"Indústria Geral";"86,00408";"Número-índice"
"BR";"1";"Brasil";"julho 2016";"Indústria Geral";"85,50970";"Número-índice"
"BR";"1";"Brasil";"agosto 2016";"Indústria Geral";"85,29311";"Número-índice"
"BR";"1";"Brasil";"setembro 2016";"Indústria Geral";"85,69719";"Número-índice"
"BR";"1";"Brasil";"outubro 2016";"Indústria Geral";"85,77238";"Número-índice"
"BR";"1";"Brasil";"novembro 2016";"Indústria Geral";"86,45810";"Número-índice"
"BR";"1";"Brasil";"dezembro 2016";"Indústria Geral";"87,57054";"Número-índice"
"BR";"1";"Brasil";"janeiro 2017";"Indústria Geral";"87,83659";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2017";"Indústria Geral";"87,44468";"Número-índice"
"BR";"1";"Brasil";"março 2017";"Indústria Geral";"87,50044";"Número-índice"
"BR";"1";"Brasil";"abril 2017";"Indústria Geral";"87,40601";"Número-índice"
"BR";"1";"Brasil";"maio 2017";"Indústria Geral";"87,49746";"Número-índice"
"BR";"1";"Brasil";"junho 2017";"Indústria Geral";"87,31953";"Número-índice"
"BR";"1";"Brasil";"julho 2017";"Indústria Geral";"86,43944";"Número-índice"
"BR";"1";"Brasil";"agosto 2017";"Indústria Geral";"86,69353";"Número-índice"
"BR";"1";"Brasil";"setembro 2017";"Indústria Geral";"87,98025";"Número-índice"
"BR";"1";"Brasil";"outubro 2017";"Indústria Geral";"89,55979";"Número-índice"
"BR";"1";"Brasil";"novembro 2017";"Indústria Geral";"90,81804";"Número-índice"
"BR";"1";"Brasil";"dezembro 2017";"Indústria Geral";"91,20386";"Número-índice"
"BR";"1";"Brasil";"janeiro 2018";"Indústria Geral";"91,63578";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2018";"Indústria Geral";"91,98513";"Número-índice"
"BR";"1";"Brasil";"março 2018";"Indústria Geral";"92,97477";"Número-índice"
"BR";"1";"Brasil";"abril 2018";"Indústria Geral";"94,44519";"Número-índice"
"BR";"1";"Brasil";"maio 2018";"Indústria Geral";"96,85567";"Número-índice"
"BR";"1";"Brasil";"junho 2018";"Indústria Geral";"99,05379";"Número-índice"
"BR";"1";"Brasil";"julho 2018";"Indústria Geral";"100,17143";"Número-índice"
"BR";"1";"Brasil";"agosto 2018";"Indústria Geral";"101,03231";"Número-índice"
"BR";"1";"Brasil";"setembro 2018";"Indústria Geral";"103,96787";"Número-índice"
"BR";"1";"Brasil";"outubro 2018";"Indústria Geral";"103,26005";"Número-índice"
"BR";"1";"Brasil";"novembro 2018";"Indústria Geral";"101,58446";"Número-índice"
"BR";"1";"Brasil";"dezembro 2018";"Indústria Geral";"100,00000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2019";"Indústria Geral";"99,24694";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2019";"Indústria Geral";"99,69785";"Número-índice"
"BR";"1";"Brasil";"março 2019";"Indústria Geral";"101,28452";"Número-índice"
"BR";"1";"Brasil";"abril 2019";"Indústria Geral";"102,52137";"Número-índice"
"BR";"1";"Brasil";"maio 2019";"Indústria Geral";"103,95020";"Número-índice"
"BR";"1";"Brasil";"junho 2019";"Indústria Geral";"102,77671";"Número-índice"
"BR";"1";"Brasil";"julho 2019";"Indústria Geral";"101,54850";"Número-índice"
"BR";"1";"Brasil";"agosto 2019";"Indústria Geral";"102,47749";"Número-índice"
"BR";"1";"Brasil";"setembro 2019";"Indústria Geral";"102,98496";"Número-índice"
"BR";"1";"Brasil";"outubro 2019";"Indústria Geral";"103,60531";"Número-índice"
"BR";"1";"Brasil";"novembro 2019";"Indústria Geral";"104,51632";"Número-índice"
"BR";"1";"Brasil";"dezembro 2019";"Indústria Geral";"105,19225";"Número-índice"
"BR";"1";"Brasil";"janeiro 2020";"Indústria Geral";"105,55651";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2020";"Indústria Geral";"106,41060";"Número-índice"
"BR";"1";"Brasil";"março 2020";"Indústria Geral";"107,30823";"Número-índice"
"BR";"1";"Brasil";"abril 2020";"Indústria Geral";"107,42869";"Número-índice"
"BR";"1";"Brasil";"maio 2020";"Indústria Geral";"108,67704";"Número-índice"
"BR";"1";"Brasil";"junho 2020";"Indústria Geral";"109,33070";"Número-índice"
"BR";"1";"Brasil";"julho 2020";"Indústria Geral";"112,85438";"Número-índice"
"BR";"1";"Brasil";"agosto 2020";"Indústria Geral";"116,58437";"Número-índice"
"BR";"1";"Brasil";"setembro 2020";"Indústria Geral";"119,31407";"Número-índice"
"BR";"1";"Brasil";"outubro 2020";"Indústria Geral";"123,38107";"Número-índice"
"BR";"1";"Brasil";"novembro 2020";"Indústria Geral";"125,08566";"Número-índice"
"BR";"1";"Brasil";"dezembro 2020";"Indústria Geral";"125,57943";"Número-índice"
"BR";"1";"Brasil";"janeiro 2021";"Indústria Geral";"130,03233";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2021";"Indústria Geral";"136,73626";"Número-índice"
"BR";"1";"Brasil";"março 2021";"Indústria Geral";"143,06120";"Número-índice"
"BR";"1";"Brasil";"abril 2021";"Indústria Geral";"146,19508";"Número-índice"
"BR";"1";"Brasil";"maio 2021";"Indústria Geral";"147,63531";"Número-índice"
"BR";"1";"Brasil";"junho 2021";"Indústria Geral";"149,54092";"Número-índice"
"BR";"1";"Brasil";"julho 2021";"Indústria Geral";"152,31924";"Número-índice"
"BR";"1";"Brasil";"agosto 2021";"Indústria Geral";"155,19250";"Número-índice"
"BR";"1";"Brasil";"setembro 2021";"Indústria Geral";"155,58802";"Número-índice"
"BR";"1";"Brasil";"outubro 2021";"Indústria Geral";"159,10043";"Número-índice"
"BR";"1";"Brasil";"novembro 2021";"Indústria Geral";"161,42853";"Número-índice"
"BR";"1";"Brasil";"dezembro 2021";"Indústria Geral";"161,30413";"Número-índice"
"BR";"1";"Brasil";"janeiro 2022";"Indústria Geral";"163,23503";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2022";"Indústria Geral";"164,11700";"Número-índice"
"BR";"1";"Brasil";"março 2022";"Indústria Geral";"169,22952";"Número-índice"
"BR";"1";"Brasil";"abril 2022";"Indústria Geral";"172,74644";"Número-índice"
"BR";"1";"Brasil";"maio 2022";"Indústria Geral";"175,86515";"Número-índice"
"BR";"1";"Brasil";"junho 2022";"Indústria Geral";"177,63433";"Número-índice"
"BR";"1";"Brasil";"julho 2022";"Indústria Geral";"179,64469";"Número-índice"
"BR";"1";"Brasil";"agosto 2022";"Indústria Geral";"174,18722";"Número-índice"
"BR";"1";"Brasil";"setembro 2022";"Indústria Geral";"170,90034";"Número-índice"
"BR";"1";"Brasil";"outubro 2022";"Indústria Geral";"169,42327";"Número-índice"
"BR";"1";"Brasil";"novembro 2022";"Indústria Geral";"168,53390";"Número-índice"
"BR";"1";"Brasil";"dezembro 2022";"Indústria Geral";"166,40227";"Número-índice"
"BR";"1";"Brasil";"janeiro 2023";"Indústria Geral";"166,88988";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2023";"Indústria Geral";"166,40510";"Número-índice"
"BR";"1";"Brasil";"março 2023";"Indústria Geral";"165,32904";"Número-índice"
"BR";"1";"Brasil";"abril 2023";"Indústria Geral";"164,74699";"Número-índice"
"BR";"1";"Brasil";"maio 2023";"Indústria Geral";"160,00906";"Número-índice"
"BR";"1";"Brasil";"junho 2023";"Indústria Geral";"155,65426";"Número-índice"
"BR";"1";"Brasil";"julho 2023";"Indústria Geral";"154,46528";"Número-índice"
"BR";"1";"Brasil";"agosto 2023";"Indústria Geral";"155,62811";"Número-índice"
"BR";"1";"Brasil";"setembro 2023";"Indústria Geral";"157,27996";"Número-índice"
"BR";"1";"Brasil";"outubro 2023";"Indústria Geral";"158,96106";"Número-índice"
"BR";"1";"Brasil";"novembro 2023";"Indústria Geral";"158,41329";"Número-índice"
"BR";"1";"Brasil";"dezembro 2023";"Indústria Geral";"158,10236";"Número-índice"
"BR";"1";"Brasil";"janeiro 2024";"Indústria Geral";"157,71940";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2024";"Indústria Geral";"157,94679";"Número-índice"
"BR";"1";"Brasil";"março 2024";"Indústria Geral";"158,49907";"Número-índice"
"BR";"1";"Brasil";"abril 2024";"Indústria Geral";"159,56100";"Número-índice"
"BR";"1";"Brasil";"maio 2024";"Indústria Geral";"160,12794";"Número-índice"
"BR";"1";"Brasil";"junho 2024";"Indústria Geral";"162,15081";"Número-índice"
"BR";"1";"Brasil";"julho 2024";"Indústria Geral";"164,62784";"Número-índice"
"BR";"1";"Brasil";"agosto 2024";"Indústria Geral";"165,72174";"Número-índice"
"BR";"1";"Brasil";"setembro 2024";"Indústria Geral";"166,74992";"Número-índice"
"BR";"1";"Brasil";"outubro 2024";"Indústria Geral";"168,36924";"Número-índice"
"BR";"1";"Brasil";"novembro 2024";"Indústria Geral";"170,47751";"Número-índice"
"BR";"1";"Brasil";"dezembro 2024";"Indústria Geral";"172,77409";"Número-índice"
"BR";"1";"Brasil";"janeiro 2025";"Indústria Geral";"173,03038";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2025";"Indústria Geral";"172,82696";"Número-índice"
"BR";"1";"Brasil";"março 2025";"Indústria Geral";"171,79062";"Número-índice"
"Fonte: IBGE - Índice de Preços ao Produtor"

"Notas"
"1 - A atividade 20B corresponde ao grupo 20.6 da divisão 20 (Fabricação de produtos químicos) da CNAE 2.0;"
"2 - A atividade 20C corresponde aos demais grupos da divisão 20."
"3 - As séries das indústrias extrativas e, consequentemente, da indústria geral (ou indústrias extrativas e de transformação) estão disponíveis a partir de dezembro de 2013, com o cálculo das variações a partir de janeiro de 2014."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
